시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,용산구,기초,여자,85세이상,128,2,9,38,48,4,0,6,3,4
서울,용산구,의료,남자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,용산구,의료,남자,65-69세,1,0,0,0,0,0,0,0,0,1
서울,용산구,의료,남자,70-74세,2,0,0,1,0,0,0,0,0,0
서울,용산구,의료,남자,75-79세,1,0,0,0,0,0,0,0,0,0
서울,용산구,의료,남자,85세이상,5,0,0,2,2,0,0,0,0,0
서울,용산구,의료,여자,65세미만,1,0,0,0,1,0,0,0,0,0
서울,용산구,의료,여자,70-74세,1,0,0,0,0,0,0,0,0,0
서울,용산구,의료,여자,75-79세,1,0,0,1,0,0,0,0,0,0
서울,용산구,의료,여자,80-84세,5,1,0,1,1,1,0,0,0,0
서울,용산구,의료,여자,85세이상,6,0,1,1,1,2,0,0,0,0
서울,용산구,감경,남자,65세미만,10,0,0,2,4,2,0,0,0,1
서울,용산구,감경,남자,65-69세,21,1,2,6,9,1,0,0,0,0
서울,용산구,감경,남자,70-74세,18,0,2,6,6,2,0,0,0,0
서울,용산구,감경,남자,75-79세,33,0,3,9,13,4,1,0,1,0
서울,용산구,감경,남자,80-84세,51,0,2,17,21,4,4,0,0,0
서울,용산구,감경,남자,85세이상,36,1,5,11,11,6,2,0,0,0
서울,용산구,감경,여자,65세미만,5,0,0,2,1,0,0,1,0,0
서울,용산구,감경,여자,65-69세,8,1,2,1,3,0,0,1,0,0
서울,용산구,감경,여자,70-74세,24,0,2,5,8,3,1,2,0,0
서울,용산구,감경,여자,75-79세,55,4,2,17,22,6,1,0,0,0
서울,용산구,감경,여자,80-84세,123,3,9,44,48,7,4,1,0,1
서울,용산구,감경,여자,85세이상,211,14,26,51,90,15,2,1,1,0
서울,성동구,일반,남자,65세미만,45,7,4,3,8,0,1,13,2,0
서울,성동구,일반,남자,65-69세,83,4,5,13,21,0,1,10,7,1
서울,성동구,일반,남자,70-74세,136,8,2,25,40,6,2,16,2,8
서울,성동구,일반,남자,75-79세,171,8,6,30,47,9,3,18,9,4
서울,성동구,일반,남자,80-84세,303,9,18,49,94,38,15,13,11,3
서울,성동구,일반,남자,85세이상,343,12,27,53,112,40,19,19,17,4
서울,성동구,일반,여자,65세미만,37,4,2,4,3,2,0,6,5,6
서울,성동구,일반,여자,65-69세,100,6,7,8,15,5,1,15,4,5
서울,성동구,일반,여자,70-74세,200,9,11,22,33,12,6,24,15,7
서울,성동구,일반,여자,75-79세,422,13,19,45,110,37,20,38,37,11
서울,성동구,일반,여자,80-84세,706,17,29,124,221,60,28,54,28,13
서울,성동구,일반,여자,85세이상,946,43,80,213,321,87,23,47,24,13
서울,성동구,기초,남자,65세미만,44,4,1,5,13,2,2,7,5,1
서울,성동구,기초,남자,65-69세,50,3,0,6,14,3,5,7,2,3
서울,성동구,기초,남자,70-74세,36,0,3,5,5,3,2,4,3,3
서울,성동구,기초,남자,75-79세,40,0,1,8,10,3,2,6,2,1
서울,성동구,기초,남자,80-84세,44,0,3,3,20,4,1,1,3,2
서울,성동구,기초,남자,85세이상,31,0,2,2,10,2,2,2,4,1
서울,성동구,기초,여자,65세미만,15,2,3,1,1,0,1,2,2,1
서울,성동구,기초,여자,65-69세,41,1,0,4,5,1,1,6,9,4
서울,성동구,기초,여자,70-74세,45,4,3,4,15,2,1,0,3,5
서울,성동구,기초,여자,75-79세,81,2,5,11,28,6,4,6,4,4
서울,성동구,기초,여자,80-84세,122,4,10,21,37,10,4,10,8,3
서울,성동구,기초,여자,85세이상,180,7,21,53,69,9,2,4,4,0
서울,성동구,의료,남자,70-74세,0,0,0,0,0,0,0,0,0,0
서울,성동구,의료,남자,75-79세,1,0,0,0,0,0,1,0,0,0
서울,성동구,의료,남자,80-84세,2,0,1,1,0,0,0,0,0,0
서울,성동구,의료,남자,85세이상,1,0,0,1,0,0,0,0,0,0
서울,성동구,의료,여자,65-69세,2,0,0,0,0,0,0,1,0,1
서울,성동구,의료,여자,70-74세,0,0,0,0,0,0,0,0,0,0
